resume_text,role
"Machine Learning Engineer with 2+ years of experience skilled in NLP, Python, Deep Learning.",Machine Learning Engineer
"Business Analyst with 8+ years of experience skilled in SQL, Requirement Analysis, Power BI.",Business Analyst
"Data Scientist with 7+ years of experience skilled in Python, SQL, TensorFlow.",Data Scientist
"Machine Learning Engineer with 2+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Data Analyst with 3+ years of experience skilled in SQL, Tableau, Excel.",Data Analyst
"Data Scientist with 7+ years of experience skilled in Pandas, TensorFlow, Machine Learning.",Data Scientist
"Data Scientist with 4+ years of experience skilled in SQL, Python, Pandas.",Data Scientist
"Web Developer with 1+ years of experience skilled in HTML, JavaScript, React.",Web Developer
"Machine Learning Engineer with 2+ years of experience skilled in Deep Learning, Scikit-learn, Python.",Machine Learning Engineer
"Product Manager with 3+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Data Analyst with 4+ years of experience skilled in Tableau, Excel, Data Visualization.",Data Analyst
"Software Engineer with 0+ years of experience skilled in Microservices, Java, Docker.",Software Engineer
"Business Analyst with 8+ years of experience skilled in Requirement Analysis, Excel, SQL.",Business Analyst
"Product Manager with 8+ years of experience skilled in Market Research, Agile, Roadmapping.",Product Manager
"Web Developer with 8+ years of experience skilled in HTML, Node.js, React.",Web Developer
"Data Analyst with 0+ years of experience skilled in Data Visualization, Excel, Tableau.",Data Analyst
"Machine Learning Engineer with 5+ years of experience skilled in NLP, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Data Scientist with 9+ years of experience skilled in Machine Learning, SQL, Python.",Data Scientist
"Web Developer with 2+ years of experience skilled in CSS, JavaScript, Node.js.",Web Developer
"Data Scientist with 4+ years of experience skilled in TensorFlow, Machine Learning, Pandas.",Data Scientist
"Data Analyst with 5+ years of experience skilled in SQL, Tableau, Excel.",Data Analyst
"Product Manager with 10+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Machine Learning Engineer with 9+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Software Engineer with 10+ years of experience skilled in REST APIs, Docker, Spring Boot.",Software Engineer
"Data Analyst with 1+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Business Analyst with 8+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"DevOps Engineer with 1+ years of experience skilled in Linux, Docker, Kubernetes.",DevOps Engineer
"Data Scientist with 5+ years of experience skilled in TensorFlow, Pandas, Machine Learning.",Data Scientist
"DevOps Engineer with 5+ years of experience skilled in Linux, Kubernetes, CI/CD.",DevOps Engineer
"Product Manager with 9+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Data Analyst with 10+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Data Analyst with 5+ years of experience skilled in Excel, SQL, Tableau.",Data Analyst
"Machine Learning Engineer with 8+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Business Analyst with 7+ years of experience skilled in Requirement Analysis, Excel, Power BI.",Business Analyst
"DevOps Engineer with 2+ years of experience skilled in Kubernetes, CI/CD, Docker.",DevOps Engineer
"Data Scientist with 8+ years of experience skilled in Python, TensorFlow, Machine Learning.",Data Scientist
"Web Developer with 3+ years of experience skilled in React, JavaScript, Node.js.",Web Developer
"Web Developer with 10+ years of experience skilled in JavaScript, HTML, React.",Web Developer
"Data Scientist with 4+ years of experience skilled in Pandas, TensorFlow, Python.",Data Scientist
"Data Scientist with 4+ years of experience skilled in TensorFlow, Python, Machine Learning.",Data Scientist
"Data Analyst with 9+ years of experience skilled in SQL, Data Visualization, Excel.",Data Analyst
"DevOps Engineer with 10+ years of experience skilled in Kubernetes, AWS, CI/CD.",DevOps Engineer
"Data Analyst with 9+ years of experience skilled in Excel, SQL, Tableau.",Data Analyst
"Data Scientist with 2+ years of experience skilled in Machine Learning, Python, TensorFlow.",Data Scientist
"DevOps Engineer with 6+ years of experience skilled in Linux, AWS, Docker.",DevOps Engineer
"Data Analyst with 2+ years of experience skilled in Data Visualization, Tableau, SQL.",Data Analyst
"Data Analyst with 9+ years of experience skilled in SQL, Excel, Tableau.",Data Analyst
"Product Manager with 2+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Product Manager with 3+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Business Analyst with 10+ years of experience skilled in Power BI, Excel, Requirement Analysis.",Business Analyst
"Software Engineer with 0+ years of experience skilled in Docker, REST APIs, Spring Boot.",Software Engineer
"Data Scientist with 9+ years of experience skilled in Pandas, SQL, Python.",Data Scientist
"Web Developer with 1+ years of experience skilled in CSS, Node.js, JavaScript.",Web Developer
"Data Analyst with 0+ years of experience skilled in Tableau, Excel, SQL.",Data Analyst
"Data Analyst with 0+ years of experience skilled in Excel, SQL, Data Visualization.",Data Analyst
"Data Scientist with 8+ years of experience skilled in Machine Learning, Pandas, Python.",Data Scientist
"Web Developer with 7+ years of experience skilled in Node.js, JavaScript, CSS.",Web Developer
"Data Scientist with 10+ years of experience skilled in Machine Learning, Pandas, TensorFlow.",Data Scientist
"Business Analyst with 7+ years of experience skilled in Excel, Requirement Analysis, SQL.",Business Analyst
"Software Engineer with 10+ years of experience skilled in Microservices, Docker, Spring Boot.",Software Engineer
"Software Engineer with 1+ years of experience skilled in Java, Docker, Spring Boot.",Software Engineer
"Data Scientist with 6+ years of experience skilled in Pandas, SQL, TensorFlow.",Data Scientist
"DevOps Engineer with 1+ years of experience skilled in AWS, Docker, CI/CD.",DevOps Engineer
"Product Manager with 1+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Web Developer with 0+ years of experience skilled in React, CSS, JavaScript.",Web Developer
"Data Scientist with 8+ years of experience skilled in Pandas, Python, SQL.",Data Scientist
"Machine Learning Engineer with 5+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Business Analyst with 4+ years of experience skilled in Requirement Analysis, Excel, SQL.",Business Analyst
"Product Manager with 10+ years of experience skilled in Agile, Scrum, Market Research.",Product Manager
"DevOps Engineer with 0+ years of experience skilled in AWS, Linux, CI/CD.",DevOps Engineer
"Software Engineer with 1+ years of experience skilled in REST APIs, Microservices, Spring Boot.",Software Engineer
"Web Developer with 5+ years of experience skilled in Node.js, React, CSS.",Web Developer
"Machine Learning Engineer with 2+ years of experience skilled in Scikit-learn, Python, Deep Learning.",Machine Learning Engineer
"Product Manager with 7+ years of experience skilled in Roadmapping, Scrum, Market Research.",Product Manager
"Data Analyst with 2+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Machine Learning Engineer with 4+ years of experience skilled in Python, Deep Learning, Scikit-learn.",Machine Learning Engineer
"Web Developer with 5+ years of experience skilled in JavaScript, HTML, CSS.",Web Developer
"Business Analyst with 9+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"DevOps Engineer with 0+ years of experience skilled in Docker, AWS, Linux.",DevOps Engineer
"Machine Learning Engineer with 6+ years of experience skilled in NLP, Scikit-learn, Python.",Machine Learning Engineer
"Software Engineer with 5+ years of experience skilled in Spring Boot, Docker, REST APIs.",Software Engineer
"Product Manager with 5+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Machine Learning Engineer with 3+ years of experience skilled in Deep Learning, Scikit-learn, Python.",Machine Learning Engineer
"DevOps Engineer with 3+ years of experience skilled in Docker, CI/CD, AWS.",DevOps Engineer
"Business Analyst with 5+ years of experience skilled in Power BI, SQL, Requirement Analysis.",Business Analyst
"Machine Learning Engineer with 7+ years of experience skilled in NLP, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Business Analyst with 6+ years of experience skilled in Power BI, Excel, SQL.",Business Analyst
"DevOps Engineer with 2+ years of experience skilled in Docker, CI/CD, Linux.",DevOps Engineer
"Data Analyst with 1+ years of experience skilled in Tableau, SQL, Data Visualization.",Data Analyst
"Product Manager with 2+ years of experience skilled in Roadmapping, Agile, Scrum.",Product Manager
"Machine Learning Engineer with 9+ years of experience skilled in NLP, Python, Scikit-learn.",Machine Learning Engineer
"Data Analyst with 7+ years of experience skilled in SQL, Tableau, Data Visualization.",Data Analyst
"Data Scientist with 3+ years of experience skilled in Pandas, TensorFlow, Python.",Data Scientist
"Machine Learning Engineer with 9+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Product Manager with 8+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Web Developer with 0+ years of experience skilled in HTML, CSS, React.",Web Developer
"Software Engineer with 7+ years of experience skilled in Docker, Spring Boot, Microservices.",Software Engineer
"Web Developer with 5+ years of experience skilled in JavaScript, Node.js, React.",Web Developer
"Data Analyst with 3+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Machine Learning Engineer with 10+ years of experience skilled in Scikit-learn, NLP, Python.",Machine Learning Engineer
"Data Analyst with 4+ years of experience skilled in Tableau, SQL, Data Visualization.",Data Analyst
"Business Analyst with 1+ years of experience skilled in Power BI, Excel, SQL.",Business Analyst
"Business Analyst with 7+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"Machine Learning Engineer with 6+ years of experience skilled in NLP, Deep Learning, Scikit-learn.",Machine Learning Engineer
"Software Engineer with 10+ years of experience skilled in REST APIs, Microservices, Java.",Software Engineer
"Business Analyst with 5+ years of experience skilled in Excel, Power BI, SQL.",Business Analyst
"Data Analyst with 4+ years of experience skilled in Data Visualization, Tableau, Excel.",Data Analyst
"DevOps Engineer with 8+ years of experience skilled in AWS, Linux, CI/CD.",DevOps Engineer
"Data Analyst with 2+ years of experience skilled in Excel, Data Visualization, Tableau.",Data Analyst
"Software Engineer with 4+ years of experience skilled in Java, Microservices, Spring Boot.",Software Engineer
"Product Manager with 10+ years of experience skilled in Agile, Market Research, Roadmapping.",Product Manager
"Data Analyst with 0+ years of experience skilled in Excel, Tableau, Data Visualization.",Data Analyst
"Business Analyst with 3+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"Data Scientist with 1+ years of experience skilled in TensorFlow, Machine Learning, SQL.",Data Scientist
"Business Analyst with 2+ years of experience skilled in SQL, Power BI, Requirement Analysis.",Business Analyst
"Software Engineer with 3+ years of experience skilled in Microservices, Java, Spring Boot.",Software Engineer
"DevOps Engineer with 2+ years of experience skilled in Docker, Kubernetes, AWS.",DevOps Engineer
"Machine Learning Engineer with 1+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Software Engineer with 0+ years of experience skilled in REST APIs, Java, Spring Boot.",Software Engineer
"Product Manager with 5+ years of experience skilled in Agile, Roadmapping, Scrum.",Product Manager
"Business Analyst with 1+ years of experience skilled in Power BI, SQL, Excel.",Business Analyst
"Data Analyst with 5+ years of experience skilled in SQL, Data Visualization, Tableau.",Data Analyst
"Data Scientist with 8+ years of experience skilled in TensorFlow, Python, SQL.",Data Scientist
"Software Engineer with 6+ years of experience skilled in Spring Boot, Docker, Microservices.",Software Engineer
"Product Manager with 4+ years of experience skilled in Market Research, Agile, Scrum.",Product Manager
"DevOps Engineer with 6+ years of experience skilled in CI/CD, AWS, Kubernetes.",DevOps Engineer
"Product Manager with 6+ years of experience skilled in Market Research, Roadmapping, Scrum.",Product Manager
"DevOps Engineer with 7+ years of experience skilled in AWS, Kubernetes, Linux.",DevOps Engineer
"DevOps Engineer with 1+ years of experience skilled in Kubernetes, Docker, Linux.",DevOps Engineer
"Data Scientist with 3+ years of experience skilled in Python, SQL, TensorFlow.",Data Scientist
"Product Manager with 6+ years of experience skilled in Roadmapping, Market Research, Agile.",Product Manager
"Business Analyst with 6+ years of experience skilled in Power BI, Excel, Requirement Analysis.",Business Analyst
"Data Analyst with 3+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Web Developer with 8+ years of experience skilled in React, HTML, JavaScript.",Web Developer
"Data Analyst with 8+ years of experience skilled in Excel, SQL, Tableau.",Data Analyst
"Product Manager with 2+ years of experience skilled in Agile, Market Research, Scrum.",Product Manager
"Software Engineer with 5+ years of experience skilled in Spring Boot, Microservices, REST APIs.",Software Engineer
"Machine Learning Engineer with 9+ years of experience skilled in NLP, Python, Deep Learning.",Machine Learning Engineer
"Business Analyst with 0+ years of experience skilled in Excel, Requirement Analysis, SQL.",Business Analyst
"Data Scientist with 7+ years of experience skilled in Machine Learning, TensorFlow, Python.",Data Scientist
"Data Scientist with 7+ years of experience skilled in Machine Learning, Pandas, SQL.",Data Scientist
"Software Engineer with 2+ years of experience skilled in Spring Boot, Java, Docker.",Software Engineer
"Machine Learning Engineer with 1+ years of experience skilled in Scikit-learn, NLP, Python.",Machine Learning Engineer
"Data Scientist with 9+ years of experience skilled in SQL, Python, Pandas.",Data Scientist
"DevOps Engineer with 10+ years of experience skilled in AWS, Docker, CI/CD.",DevOps Engineer
"Machine Learning Engineer with 7+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"Data Analyst with 2+ years of experience skilled in Data Visualization, SQL, Tableau.",Data Analyst
"Data Analyst with 2+ years of experience skilled in Tableau, Data Visualization, SQL.",Data Analyst
"Data Scientist with 4+ years of experience skilled in Python, Machine Learning, Pandas.",Data Scientist
"Software Engineer with 4+ years of experience skilled in Java, Docker, Spring Boot.",Software Engineer
"Machine Learning Engineer with 5+ years of experience skilled in Deep Learning, Python, NLP.",Machine Learning Engineer
"Software Engineer with 2+ years of experience skilled in Spring Boot, Docker, Java.",Software Engineer
"Web Developer with 6+ years of experience skilled in HTML, JavaScript, Node.js.",Web Developer
"Business Analyst with 3+ years of experience skilled in Power BI, SQL, Excel.",Business Analyst
"Data Scientist with 2+ years of experience skilled in SQL, Pandas, Machine Learning.",Data Scientist
"Business Analyst with 1+ years of experience skilled in Requirement Analysis, Excel, Power BI.",Business Analyst
"DevOps Engineer with 10+ years of experience skilled in Docker, AWS, Linux.",DevOps Engineer
"Business Analyst with 3+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"Machine Learning Engineer with 0+ years of experience skilled in Python, Deep Learning, NLP.",Machine Learning Engineer
"Web Developer with 7+ years of experience skilled in JavaScript, Node.js, CSS.",Web Developer
"Web Developer with 3+ years of experience skilled in React, HTML, CSS.",Web Developer
"Software Engineer with 0+ years of experience skilled in Docker, Spring Boot, Java.",Software Engineer
"Data Scientist with 3+ years of experience skilled in TensorFlow, SQL, Python.",Data Scientist
"Data Scientist with 2+ years of experience skilled in Python, Machine Learning, TensorFlow.",Data Scientist
"Machine Learning Engineer with 7+ years of experience skilled in Scikit-learn, NLP, Deep Learning.",Machine Learning Engineer
"Web Developer with 4+ years of experience skilled in HTML, React, CSS.",Web Developer
"Software Engineer with 5+ years of experience skilled in Microservices, Java, Docker.",Software Engineer
"Machine Learning Engineer with 7+ years of experience skilled in NLP, Deep Learning, Scikit-learn.",Machine Learning Engineer
"Product Manager with 2+ years of experience skilled in Market Research, Scrum, Agile.",Product Manager
"Web Developer with 10+ years of experience skilled in React, JavaScript, HTML.",Web Developer
"Product Manager with 0+ years of experience skilled in Scrum, Market Research, Agile.",Product Manager
"DevOps Engineer with 3+ years of experience skilled in Kubernetes, CI/CD, AWS.",DevOps Engineer
"Data Scientist with 9+ years of experience skilled in Machine Learning, SQL, TensorFlow.",Data Scientist
"Data Scientist with 4+ years of experience skilled in TensorFlow, Pandas, SQL.",Data Scientist
"Product Manager with 7+ years of experience skilled in Market Research, Agile, Roadmapping.",Product Manager
"Web Developer with 4+ years of experience skilled in React, JavaScript, HTML.",Web Developer
"Product Manager with 0+ years of experience skilled in Roadmapping, Scrum, Agile.",Product Manager
"Business Analyst with 10+ years of experience skilled in Requirement Analysis, SQL, Excel.",Business Analyst
"Machine Learning Engineer with 4+ years of experience skilled in Deep Learning, NLP, Python.",Machine Learning Engineer
"DevOps Engineer with 4+ years of experience skilled in Kubernetes, Linux, CI/CD.",DevOps Engineer
"DevOps Engineer with 6+ years of experience skilled in CI/CD, AWS, Docker.",DevOps Engineer
"Data Analyst with 1+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Software Engineer with 2+ years of experience skilled in Java, Microservices, REST APIs.",Software Engineer
"Data Analyst with 10+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Product Manager with 1+ years of experience skilled in Market Research, Agile, Scrum.",Product Manager
"Web Developer with 1+ years of experience skilled in React, JavaScript, CSS.",Web Developer
"Product Manager with 3+ years of experience skilled in Market Research, Roadmapping, Agile.",Product Manager
"Software Engineer with 6+ years of experience skilled in Microservices, Java, Docker.",Software Engineer
"Data Scientist with 1+ years of experience skilled in Pandas, SQL, Machine Learning.",Data Scientist
"Software Engineer with 6+ years of experience skilled in Java, REST APIs, Docker.",Software Engineer
"Data Analyst with 5+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Machine Learning Engineer with 10+ years of experience skilled in Scikit-learn, Deep Learning, Python.",Machine Learning Engineer
"Machine Learning Engineer with 8+ years of experience skilled in Python, Scikit-learn, Deep Learning.",Machine Learning Engineer
"Product Manager with 8+ years of experience skilled in Market Research, Roadmapping, Agile.",Product Manager
"DevOps Engineer with 8+ years of experience skilled in CI/CD, Docker, AWS.",DevOps Engineer
"Business Analyst with 8+ years of experience skilled in Excel, Requirement Analysis, Power BI.",Business Analyst
"Data Scientist with 1+ years of experience skilled in Machine Learning, Python, TensorFlow.",Data Scientist
"Data Analyst with 9+ years of experience skilled in SQL, Data Visualization, Tableau.",Data Analyst
"Data Analyst with 6+ years of experience skilled in Tableau, Data Visualization, Excel.",Data Analyst
"Software Engineer with 2+ years of experience skilled in REST APIs, Microservices, Docker.",Software Engineer
"Web Developer with 0+ years of experience skilled in Node.js, HTML, CSS.",Web Developer
"Data Scientist with 8+ years of experience skilled in Machine Learning, TensorFlow, Pandas.",Data Scientist
"Data Scientist with 2+ years of experience skilled in Python, TensorFlow, Pandas.",Data Scientist
"DevOps Engineer with 8+ years of experience skilled in Linux, CI/CD, Docker.",DevOps Engineer
"DevOps Engineer with 4+ years of experience skilled in Kubernetes, Linux, Docker.",DevOps Engineer
"Software Engineer with 7+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Machine Learning Engineer with 0+ years of experience skilled in Scikit-learn, Deep Learning, NLP.",Machine Learning Engineer
"Business Analyst with 9+ years of experience skilled in SQL, Requirement Analysis, Excel.",Business Analyst
"Business Analyst with 2+ years of experience skilled in SQL, Power BI, Requirement Analysis.",Business Analyst
"Product Manager with 1+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Business Analyst with 9+ years of experience skilled in Power BI, Requirement Analysis, Excel.",Business Analyst
"Machine Learning Engineer with 10+ years of experience skilled in Scikit-learn, Python, Deep Learning.",Machine Learning Engineer
"Product Manager with 0+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"DevOps Engineer with 6+ years of experience skilled in CI/CD, AWS, Linux.",DevOps Engineer
"DevOps Engineer with 0+ years of experience skilled in Docker, CI/CD, Linux.",DevOps Engineer
"Machine Learning Engineer with 8+ years of experience skilled in Python, NLP, Scikit-learn.",Machine Learning Engineer
"DevOps Engineer with 10+ years of experience skilled in CI/CD, Docker, Linux.",DevOps Engineer
"Data Scientist with 8+ years of experience skilled in TensorFlow, Python, Machine Learning.",Data Scientist
"Business Analyst with 9+ years of experience skilled in Requirement Analysis, SQL, Power BI.",Business Analyst
"Machine Learning Engineer with 10+ years of experience skilled in Python, NLP, Deep Learning.",Machine Learning Engineer
"Machine Learning Engineer with 7+ years of experience skilled in Deep Learning, Python, Scikit-learn.",Machine Learning Engineer
"DevOps Engineer with 10+ years of experience skilled in Kubernetes, CI/CD, Docker.",DevOps Engineer
"Data Analyst with 4+ years of experience skilled in Data Visualization, Tableau, SQL.",Data Analyst
"Software Engineer with 6+ years of experience skilled in Java, REST APIs, Spring Boot.",Software Engineer
"Data Analyst with 1+ years of experience skilled in SQL, Excel, Data Visualization.",Data Analyst
"DevOps Engineer with 7+ years of experience skilled in Linux, Docker, CI/CD.",DevOps Engineer
"Data Scientist with 1+ years of experience skilled in TensorFlow, Pandas, SQL.",Data Scientist
"Software Engineer with 5+ years of experience skilled in REST APIs, Spring Boot, Java.",Software Engineer
"Software Engineer with 2+ years of experience skilled in Microservices, Spring Boot, Docker.",Software Engineer
"Software Engineer with 2+ years of experience skilled in Microservices, Java, REST APIs.",Software Engineer
"Data Analyst with 4+ years of experience skilled in Excel, SQL, Data Visualization.",Data Analyst
"DevOps Engineer with 6+ years of experience skilled in Docker, Linux, Kubernetes.",DevOps Engineer
"Software Engineer with 1+ years of experience skilled in Spring Boot, Microservices, REST APIs.",Software Engineer
"Data Analyst with 4+ years of experience skilled in Data Visualization, Excel, SQL.",Data Analyst
"Data Analyst with 0+ years of experience skilled in Tableau, Excel, Data Visualization.",Data Analyst
"Software Engineer with 8+ years of experience skilled in Spring Boot, Java, REST APIs.",Software Engineer
"Data Analyst with 7+ years of experience skilled in Tableau, SQL, Data Visualization.",Data Analyst
"Machine Learning Engineer with 0+ years of experience skilled in Deep Learning, Scikit-learn, Python.",Machine Learning Engineer
"Web Developer with 3+ years of experience skilled in HTML, React, JavaScript.",Web Developer
"Product Manager with 2+ years of experience skilled in Market Research, Agile, Scrum.",Product Manager
"Data Analyst with 5+ years of experience skilled in SQL, Excel, Data Visualization.",Data Analyst
"Web Developer with 9+ years of experience skilled in CSS, React, Node.js.",Web Developer
"Business Analyst with 5+ years of experience skilled in Excel, Requirement Analysis, Power BI.",Business Analyst
"DevOps Engineer with 7+ years of experience skilled in Docker, CI/CD, AWS.",DevOps Engineer
"Data Scientist with 8+ years of experience skilled in Machine Learning, TensorFlow, Pandas.",Data Scientist
"Data Analyst with 1+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Machine Learning Engineer with 5+ years of experience skilled in NLP, Scikit-learn, Python.",Machine Learning Engineer
"Data Analyst with 0+ years of experience skilled in Tableau, SQL, Excel.",Data Analyst
"Data Analyst with 3+ years of experience skilled in SQL, Tableau, Excel.",Data Analyst
"Data Analyst with 5+ years of experience skilled in Tableau, Excel, SQL.",Data Analyst
"Machine Learning Engineer with 10+ years of experience skilled in Scikit-learn, Python, NLP.",Machine Learning Engineer
"Software Engineer with 1+ years of experience skilled in REST APIs, Microservices, Spring Boot.",Software Engineer
"Web Developer with 2+ years of experience skilled in Node.js, HTML, JavaScript.",Web Developer
"Machine Learning Engineer with 8+ years of experience skilled in Deep Learning, NLP, Python.",Machine Learning Engineer
"Data Scientist with 2+ years of experience skilled in Python, Pandas, Machine Learning.",Data Scientist
"Product Manager with 0+ years of experience skilled in Scrum, Agile, Roadmapping.",Product Manager
"Software Engineer with 7+ years of experience skilled in Java, Spring Boot, REST APIs.",Software Engineer
"Web Developer with 5+ years of experience skilled in Node.js, JavaScript, React.",Web Developer
"Software Engineer with 5+ years of experience skilled in Spring Boot, Docker, Microservices.",Software Engineer
"Business Analyst with 9+ years of experience skilled in SQL, Power BI, Excel.",Business Analyst
"Machine Learning Engineer with 1+ years of experience skilled in NLP, Python, Deep Learning.",Machine Learning Engineer
"Software Engineer with 2+ years of experience skilled in Docker, Microservices, REST APIs.",Software Engineer
"Machine Learning Engineer with 9+ years of experience skilled in NLP, Scikit-learn, Python.",Machine Learning Engineer
"DevOps Engineer with 5+ years of experience skilled in CI/CD, Kubernetes, Docker.",DevOps Engineer
"Data Analyst with 2+ years of experience skilled in SQL, Data Visualization, Excel.",Data Analyst
"Product Manager with 9+ years of experience skilled in Scrum, Market Research, Roadmapping.",Product Manager
"Business Analyst with 10+ years of experience skilled in Excel, Requirement Analysis, Power BI.",Business Analyst
"Software Engineer with 9+ years of experience skilled in Docker, Microservices, Spring Boot.",Software Engineer
"DevOps Engineer with 4+ years of experience skilled in Kubernetes, Docker, CI/CD.",DevOps Engineer
"Data Analyst with 3+ years of experience skilled in Excel, Data Visualization, SQL.",Data Analyst
"Product Manager with 9+ years of experience skilled in Scrum, Roadmapping, Agile.",Product Manager
"Business Analyst with 10+ years of experience skilled in Requirement Analysis, Power BI, SQL.",Business Analyst
"Machine Learning Engineer with 8+ years of experience skilled in Scikit-learn, NLP, Deep Learning.",Machine Learning Engineer
"Data Scientist with 6+ years of experience skilled in Python, Machine Learning, TensorFlow.",Data Scientist
"Data Analyst with 2+ years of experience skilled in Excel, Data Visualization, Tableau.",Data Analyst
"Machine Learning Engineer with 7+ years of experience skilled in NLP, Deep Learning, Python.",Machine Learning Engineer
"Data Scientist with 0+ years of experience skilled in Python, SQL, Pandas.",Data Scientist
"Data Scientist with 8+ years of experience skilled in TensorFlow, Machine Learning, Pandas.",Data Scientist
"Web Developer with 4+ years of experience skilled in JavaScript, CSS, Node.js.",Web Developer
"Data Analyst with 8+ years of experience skilled in SQL, Tableau, Excel.",Data Analyst
